sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 26, 2024 10:09:40

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
edb_top:edb_top                                             	    3360(0)	     579(0)	      86(0)	    4316(0)	     0(0)	    58(0)	     0(0)	
 +la0:edb_la_top_renamed_due_excessive_length_1             	 3274(1867)	     579(0)	     86(39)	 4277(1404)	     0(0)	    58(0)	     0(0)	
  +axi_crc_i:edb_adbg_crc32                                 	     32(32)	       0(0)	       0(0)	     58(58)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[0].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[1].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01001,PIPE=1)	     21(21)	       0(0)	       0(0)	     29(29)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[2].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	       0(0)	     13(13)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[3].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[4].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	       0(0)	     95(95)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[5].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b0100000,PIPE=1)	     67(67)	       0(0)	       0(0)	     96(96)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[6].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01111,PIPE=1)	     33(33)	       0(0)	       0(0)	     47(47)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[7].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[8].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[9].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[10].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01011,PIPE=1)	     25(25)	       0(0)	       0(0)	     35(35)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[11].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010000,PIPE=1)	     35(35)	       0(0)	       0(0)	     48(48)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[12].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010000,PIPE=1)	     35(35)	       0(0)	       0(0)	     49(49)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[13].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[14].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[15].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	       0(0)	     38(38)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[16].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01100,PIPE=1)	     27(27)	       0(0)	       0(0)	     38(38)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[17].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[18].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011000,PIPE=1)	     51(51)	       0(0)	       0(0)	     73(73)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[19].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[20].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[21].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[22].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[23].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010,PIPE=1)	       7(7)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[24].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b010,PIPE=1)	       7(7)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[25].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     26(26)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[26].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     25(25)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[27].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     27(27)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[28].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     25(25)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[29].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     25(25)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[30].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b011,PIPE=1)	       9(9)	       0(0)	       0(0)	     13(13)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[31].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     26(26)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[32].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01000,PIPE=1)	     19(19)	       0(0)	       0(0)	     26(26)	     0(0)	     0(0)	     0(0)	
  +GEN_PROBE[33].genblk7.genblk3.trigger_cu:compare_unit(WIDTH=11'b01,PIPE=1)	       7(7)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
