sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 12, 2024 16:54:51

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
example_top:example_top                                     	   3615(32)	     350(0)	   1052(76)	  3449(279)	     0(0)	    72(0)	     3(0)	
 +u_DDR_CTL:DdrCtrl                                         	    2538(0)	     350(0)	     504(0)	    2487(0)	     0(0)	    30(0)	     0(0)	
  +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_bc08b398162e498eaa40980c1f3d5cf6	    2538(0)	     350(0)	     504(0)	    2487(0)	     0(0)	    30(0)	     0(0)	
   +genblk1.inst_ddr3_axi:efx_ddr3_axi_bc08b398162e498eaa40980c1f3d5cf6	  2538(195)	     350(0)	   504(131)	  2487(249)	     0(0)	    30(0)	     0(0)	
    +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       8(8)	     12(12)	     25(25)	     0(0)	     0(0)	     0(0)	
    +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_DEPTH=32)	       7(7)	   116(116)	     12(12)	     74(74)	     0(0)	     0(0)	     0(0)	
    +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=48,DATA_DEPTH=32)	       7(7)	   124(124)	     12(12)	     78(78)	     0(0)	     0(0)	     0(0)	
    +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     11(11)	     0(0)	     0(0)	     0(0)	
    +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       4(4)	     12(12)	     20(20)	     0(0)	     0(0)	     0(0)	
    +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
    +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     31(31)	     0(0)	     0(0)	     0(0)	
    +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     33(33)	     0(0)	     0(0)	     0(0)	
    +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=8,DATA_DEPTH=32)	       7(7)	     32(32)	     12(12)	     35(35)	     0(0)	     0(0)	     0(0)	
    +inst_efx_ddr3:top_bc08b398162e498eaa40980c1f3d5cf6     	  2280(212)	       2(0)	    265(64)	  1918(623)	     0(0)	    30(0)	     0(0)	
     +top_mc:controller_top_bc08b398162e498eaa40980c1f3d5cf6	   2056(29)	       0(0)	     201(0)	   1283(32)	     0(0)	    30(0)	     0(0)	
      +rst_ctrl0:reset_ctrl_bc08b398162e498eaa40980c1f3d5cf6(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_bc08b398162e498eaa40980c1f3d5cf6(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_bc08b398162e498eaa40980c1f3d5cf6(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_bc08b398162e498eaa40980c1f3d5cf6(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_bc08b398162e498eaa40980c1f3d5cf6(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +rst_ctrl1:reset_ctrl_bc08b398162e498eaa40980c1f3d5cf6(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_bc08b398162e498eaa40980c1f3d5cf6(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +fifo_ar:streamfifocc64_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     67(55)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +fifo_aw:streamfifocc64_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     54(43)	     0(0)	     2(2)	     0(0)	
       +popToPushGray_buffercc:buffercc_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +fifo_wr:streamfifocc64_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     53(43)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     44(30)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_bc08b398162e498eaa40980c1f3d5cf6_renamed_due_excessive_length_1	      71(0)	       0(0)	      27(0)	     114(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_bc08b398162e498eaa40980c1f3d5cf6(FAMILY="TITANIUM",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     77(77)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_bc08b398162e498eaa40980c1f3d5cf6_renamed_due_excessive_length_2	     71(43)	       0(0)	     27(27)	     37(13)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_addr_sync:efx_asyncreg_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_addr_sync:efx_asyncreg_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7,ACTIVE_LOW=0)	     14(14)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_bc08b398162e498eaa40980c1f3d5cf6(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     45(38)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_bc08b398162e498eaa40980c1f3d5cf6(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     45(41)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_bc08b398162e498eaa40980c1f3d5cf6	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_bc08b398162e498eaa40980c1f3d5cf6	 1612(1435)	       0(0)	   142(103)	   829(735)	     0(0)	     7(0)	     0(0)	
